Num,Dish Name,Ingredients,Recipe,Recipe Video Link
1,목살 스테이크 카레,"- 돼지 목살 150g*2 – 두꺼운 돼지고기면 모든 부위든 OK
- 파프리카 청/적/황색 각 50g씩 
- 당근 1/4개 (70g)
- 감자 1개 (150g) 
- 양파 1개 (200g)
- 물 3컵 반 (665ml) 
- 식용유 2큰술 (30ml)
- 꽃소금 한 꼬집 
- 후춧가루 한 꼬집
- 고형카레 60g – 카레가루도 OK 
- 밥 한 공기 (210g)","1. 돼지 목살은 고기 사이 힘줄을 끊어주세요 (도마에서 딱딱딱)
2. 꽃소금과 후춧가루 한꼬집을 뿌려 밑간을 해주세요
3. 밑간이 고르게 될 수 있도록 손으로 고기를 두드려주세요
4. 파프리카는 색깔 별로 한 면씩 먹기 좋은 크기로 썰어주세요
5. 감자와 당근은 큼직하게 썰어주세요
6. 양파는 결대로 채 썰어주세요
7. 팬에 식용유를 두르고 강불로 가열해주세요
8. 목살을 고깃기름에 튀겨 진한 갈색이 될 때까지 구워주세요
9. 채썬 양파를 넣고 불을 중불로 낮춰 볶아주세요
10. 양파의 부피가 살짝 줄어들면 당근과 감자를 넣어주세요
11. 물을 넣고 강불로 끓여주세요 (양이 적으면 다시 중불로)
12. 감자와 당근이 잘 익으면 고형분 카레를 넣고 풀어주세요
13. 바닥이 타지 않도록 중약불에서 잘 저어주세요
14. 파프리카를 넣고 골고루 섞어 조금 더 익혀주세요
15. 물이 너무 쫄지 않게 해주고 간을 보면서 마무리해주세요",https://youtu.be/wDXCxlcr3hY
2,초간단 김치찌개,"- 돼지 목살 120g – 돼지고기 모든 부위 내장도 OK. 비계 넣으면 국물이 맛있음
- 국간장 1큰술 (15g) – 없으면 진간장 소량 + 소금 + 액젓으로 OK
- 새우젓 1큰술 (15g) – 멸치 액젓, 까나리 액젓, 참치 액젓도 OK
- 쌀뜨물 2컵 (380ml) – 맹물도 OK 
- 다진 마늘 2큰술 (30g)
- 대파 30g 
- 굵은 고춧가루 2큰술 (30g)
- 청양고추 10g 
- 고운 고춧가루 2큰술 (30g)
- 신김치 150g ","1. 대파와 청양고추는 송송 썰어 준비합니다
2. 냄비에 돼지고기 120g와 쌀뜨물 2컵을 넣고 끓여주세요
3. 충분히 끓여 고기 육수를 우려냅니다
4. 육수가 우러나면 잘라놓은 신김치 150g을 넣어주세요
5. 김치가 익으면 다진 마늘 2큰술, 대파, 고추를 넣어주세요
6. 굵은 고춧가루와 고운 고춧가루를 2큰술씩 넣어주세요
7. 국간장과 새우젓 1큰술을 넣고 저어주세요 (잠깐! 국간장이 없을 때, 진간장을 아주 조금 넣어서 향을 조금만 내고, 소금이나 액젓을 섞어서 간을 해주세요)
9. 고명으로 대파와 고추를 조금씩 올려주세요",https://youtu.be/DnQ09ZZCjCs
3,뚝배기 계란찜,"- 요리용과 뚜껑용의 뚝배기 2개 - 동일한 크기거나 하나를 반 덮을 수 있는 크기 (뚜껑으로 플라스틱과 유리는 위험해요!)
- 달걀 6개 – 뚝배기 크기에 따라 조절. 달걀물이 뚝배기 8/10~9/10 정도 차게끔
- 물 1/3컵 (60ml) – 달걀 개수에 따라 조절 필요
- 새우젓 1큰술 (15g) – 액젓 + 소금도 OK
- 대파 (40g + 고명 10g) – 쪽파도 OK 
- 설탕 1작은술 (5g)
- 참기름 1큰술 (15ml) 
- 깨 1작은술 (5g)","1. 새우젓 1큰술을 잘게 다져주세요 (풍미용. 없으면 통과)
2. 대파 40g을 송송 썰어 준비해주세요
3. 큰 그릇에 달걀, 새우젓 1큰술, 설탕 1작은술을 넣어주세요
4. 넣은 재료들이 잘 섞이도록 저어주세요
5. 달걀물에 물 1/3컵을 넣어주세요
6. 뚝배기에 달걀물을 붓고 처음에는 강불로 끓여주세요
7. 건더기가 생기면 불을 줄여주세요
8. 뚝배기 구석구석 건더기를 긁어내면서 끓여주세요
9. 달걀이 몽글몽글 익으면 대파를 넣고 섞어주세요
10. 뚜껑용 뚝배기를 덮고 약불로 계속 끓여주세요
11. 뚝배기 옆으로 물이 흘러나오는 게 끝날 때쯤 열어주세요
12. 대파 10g과 참기름 1큰술, 깨 1작은술을 올려주세요",https://youtu.be/_H64Kz7Mgz4
4,닭 백숙 / 이북식 찜닭,"- 일반 닭 1마리 – 닭껍질이 미끄덩거리지 않아야 신선함. 토종닭은 삶는 데 오래 걸림
- 대파 2뿌리 + 100g – 닭의 잡내 잡는 게 익숙해지면 1뿌리로 줄여도 OK
- 생강 1톨 – 썰지 말고 통으로. 없어도 OK
- 통마늘 10알 – 더 넣어도 맛있음 
- 부추 100g
- 작은 양파 2개 
- 물 – 닭 크기의 2~3배","1. 고춧가루와 뜨거운 물 1큰술씩 넣고 잘 섞어주세요
2. 종지에 이 재료들을 넣어 잘 섞어주세요: 양념장 1큰술, 진간장 2큰술(30mL), 다진마늘 1/2 작은술, 식초 1큰술(15mL), 연겨자 1/3 작은술, 설탕 1/2 작은술, 파(흰부분) 1/2 작은술
3. 닭 날개 끝부분은 잘라내고 가슴을 갈라 펼쳐주세요
4. 닭의 내장을 손가락으로 밀어 올리거나 솔로 제거해주세요
5. 냄비에 물 3L를 넣어주세요
6. 냄비에 이 재료들을 넣고 30~45분간 삶아주세요: 닭, 통마늘 10개, 대파 2뿌리, 통생강 1톨, 통양파 2개
7. 뚜껑을 열고 삶으면 닭의 잡내가 날아갑니다
8. 삶는 중간에 닭을 한번 뒤집어주세요
9. 닭가슴살이 적당히 찢길 때 꺼내서 그릇에 옮겨주세요
10. 남은 채소는 체에 걸러주세요
11. 채소를 걸러낸 국물에 부추와 대파를 썰어 데쳐주세요
12. 데친 부추와 대파를 닭백숙 위에 올려 마무리해주세요",https://youtu.be/7Ez066LV76U
5,불맛 짬뽕라면,"- 대패 삼겹살 300g – 앞다리살, 불고기거리, 목살, 갈아 놓은 돼지고기도 OK (고기의 오돌뼈 부분은 분리해서 준비해주세요!)
- 라면 5개 
- 분말스프 + 건더기스프 5개
- 굵은 고춧가루 50g 
- 진간장 50g
- 식용유 50g 
- 양파 250g
- 대파 150g 
- 양배추 250g – 없으면 배추도 OK","1. 대파 150g를 굵게 썰어주세요
2. 양배추 250g, 양파 250g를 썰어주세요
3. 프라이팬에 식용유 50g를 넣어주세요
4. 대패 삼겹살 300g, 양파, 대파를 넣고 센불에서 볶아주세요
5. 대파와 양파가 노릇노릇해질 때까지 볶아주세요
6. 양배추 250g를 넣고 다시 볶아주세요
7. 진간장 50g을 넣고 다시 볶아주세요
8. 굵은 고춧가루 50g를 넣고 다시 볶아주세요
9. 끓인 물 2500ml를 넣어주세요
10. 분말스프, 건더기스프와 라면을 넣고 잘 저으며 끓여주세요
11. 잠깐! 달걀은 넣지 말고 간 조절은 아래와 같이 해주세요
- 짜면? 물 붓기, 싱거우면? 소금, 소고기 조미료, 치킨파우더 OK 멸치 조미료, 간장 NO
12. 그릇에 옮겨 담고 송송 썰은 대파를 올려주세요",https://youtu.be/YISYMu2Txp4
6,소갈비찜,"- 소갈비 2kg (LA갈비가 아닌 갈비찜, 갈비탕용 갈비 기준의 시간임을 유의)
- 진간장 1과 1/3컵 (260g) 
- 물 1과 1/3컵 (240g)
- 간 생강 2/3큰술 (10g) - 없어도 OK 
- 무 1/3개 (360g) - 없어도 OK
- 간 마늘 1/4컵 (40g) 
- 표고버섯 2개 (50g) - 없어도 OK
- 후춧가루 1g 
- 대파 3대 (160g)
- 맛술 2/3컵 (120g) 
- 양파 2개 (370g)
- 참기름 4큰술 (30g) 
- 새송이버섯 2개 (50g) - 없어도 OK
- 황설탕 2/3컵 (100g) 
- 당근 1개 (230g) - 없어도 OK
- 청양고추 3개 (30g), 꽈리고추 5개 (20g), 홍고추 2개 (20g) - 없어도 OK","1. 소갈비를 물에 넣고 핏기를 빼주세요 (하루 정도)
2. 양념장 만들기: 진간장 260g, 황설탕 100g, 맛술 120g, 물240g, 간마늘 40g, 간생강 10g, 대파 50g 잘게 썬 것, 후춧가루 1g, 참기름 4큰술을 잘 섞어주세요
3. 새송이버섯 2개를 잘라주세요
4. 표고버섯 2개를 4등분으로 잘라주세요
5. 양파 2개를 잘라주세요
6. 무 1/3개를 부채꼴로 자르고 모서리를 감자칼 등으로 다듬어주세요
7. 당근 1개를 잘라주세요
8. 대파 3대를 잘라주세요
9. 청양고추 3개, 홍고추 2개, 꽈리고추 5개를 잘라주세요
10. 소갈비를 체에 밭쳐 핏물을 제거하고 물로 씻어주세요
11. 믹싱 볼에 담아 한번 더 씻고 체에 밭쳐 물기를 빼주세요
12. 잠깐! 씻을 때 살코기에서 뼛가루를 제거해주세요 (얼었던 고기는 완전히 녹을 때까지 핏물을 빼고, 물에 씻을 때 만져지는 뼛가루를 잘 닦아주세요+물에 살짝 끓이면 잡내 완전제거)
13. 냄비에 소갈비, 갈비양념, 물1L를 같이 넣어주세요
14. 1시간 이상 끓여주세요 (고기가 부드러워질 때까지)
15. 중간에 거품을 걷어내 주세요 (핏물이 섞여 있음)
16. 무를 넣고 잘 익혀주세요
17. 당근, 표고버섯, 새송이 버섯을 넣고 잘 익혀주세요
18. 냄비에 소갈비, 갈비양념, 물 1L를 같이 넣어주세요
19. 양파를 넣고 잘 섞어주세요
20. 청양고추, 홍고추, 꽈리고추를 넣고 잘 섞어주세요
21. 잘 익은 소갈비찜을 접시에 옮겨 담아주세요",https://youtu.be/PjMWHZ3ubsQ
7,김치 볶음밥,"- 식용유 1큰술 – 카놀라유, 버터, 마가린 등 기름의 향 없는 것은 OK. 올리브유는 NO
- 모짜렐라 치즈 1/2컵 – 체다 치즈, 슬라이스 치즈 등도 OK
- 황설탕 1작은술 – 김치의 맛을 잡아주는 용도
- 옥수수콘 1/2컵 – 없어도 OK 
- 대파 1/2컵
- 밥 1공기 
- 김 가루 1/2컵
- 진간장 1큰술 
- 신 김치 1/3컵
- 옥수수 콘 1/2컵 
- 대파 1/2컵
- 고운 고춧가루 1큰술","1. 프라이팬에 식용유 1큰술을 넣어주세요
2. 대파 1/2컵을 넣고 잘 볶아주세요
3. 파기름이 끓어오르면 김치 1/3컵을 넣고 잘 볶아주세요
4. 진간장 1큰술을 넣어주세요
5. 황설탕 1작은술을 넣고 잘 볶아주세요
6. 고운 고춧가루가 타지 않게 잘 볶아주세요
7. 큰 그릇에 볶은 김치와 밥을 넣고 잘 비벼주세요
8. 비빈 밥을 프라이팬에 넓게 펴주세요
9. 밥 위에 치즈(일반)나 옥수수 콘+치즈(업)를 올려주세요
10. 뚜껑을 덮고 약 3분 뒤에 열어주세요
11. 완성된 밥을 접시에 반으로 접어 올려주세요
12. 옥수수콘, 김가루 1/2컵, 깨 1g를 올려주세요",https://youtu.be/R6IT_f0XPT8
8,닭 볶음탕,"- 닭 1마리 – 닭볶음탕용. 8호 이상 10호 내외. 토종닭은 끓이는 시간 더 길게 잡을 것
- 황설탕 1/2컵 (70g) 
- 고운 고춧가루 1/3컵 (30g)
- 굵은 고춧가루 1/2컵 (45g) 
- 후춧가루 2g
- 진간장 1컵 (190g) 
- 간 마늘 1/3컵 (45g)
- 감자 2개 (270g) 
- 양파 1/2개 (240g)
- 대파 3대 (160g) 
- 당근 1/2개 (160g)
- 표고버섯 3개 (70g) 
- 새송이버섯 2개 (50g)
- 청양고추 4개 (30g) 
- 홍고추 1개 (10g)","1. 표고버섯 3개를 잘라주세요
2. 새송이버섯 2개를 잘라주세요
3. 감자 2개, 당근 1/2개, 양파 1/2개를 잘라주세요
4. 청양고추 4개, 홍고추 1개를 잘라주세요
5. 대파 2대를 잘라주세요
6. 잠깐! 닭 손질은 이렇게 해주세요: 파고들어간 뼈 조각과 내장을 흐르는물에 씻으며 분리해주세요. 황설탕을 넣고 조리하기 전에 닭을 먼저 삶아두면 닭 냄새를 잡아줍니다. 
7. 물 600ml와 닭 1마리를 넣어주세요
8. 황설탕 70g을 넣고 끓여주세요
9. 감자, 당근, 양파를 넣고 잘 익혀주세요
10. 간마늘 45g을 넣고 잘 풀어주세요
11. 진간장 190g을 넣고 저어주세요
12. 표고버섯, 새송이버섯을 넣고 익혀주세요
13.고운 고춧가루 30g, 굵은 고춧가루 45g을 넣고 저어주세요
13. 약 30~40분 정도 끓여주세요: 국물이 걸쭉하지 않으면 프라이팬에 국물을 덜어내어 끓이고 물이 날아간 것을 다시 합쳐주세요
14. 대파와 청양고추 4개, 홍고추 1개를 뿌려주세요
15. 후춧가루 2g을 뿌려주세요
16. 잠깐! 상 차리기 전에: 완성될 때 불을 끄고 생 간 마늘을 넣어 비비면 또 다른 맛을 낼 수 있어요",https://youtu.be/-EwR5eshbPE
9,꽈리고추 삼겹살 볶음,"- 삼겹살 600g – 돼지고기 모든 부위 OK
- 황설탕 3큰술 (30g) – 불맛 내는 용도 
- 간 마늘 2큰술 (30g)
- 진간장 1/3컵 (60ml) 
- 노두유 있으면 간장과 같이 사용
- 꽈리고추 20개 (150g) 
- 청양고추 3개 (30g) – 없어도 OK
- 대파 2/3컵 (30g)","1. 꽈리고추 20개 꼭지를 따고 약간 큼직한 크기로 썰어주세요
2. 대파 30g를 잘게 썰어주세요
3. 청양고추 3개를 잘게 썰어주세요
4. 삼겹살은 한 입 크기로 적당히 잘라주세요
5. 삼겹살을 프라이팬에서 노릇노릇해질 때까지 볶아주세요
6. 대파 30g을 넣고 볶아주세요
7. 파기름이 나오면 황설탕 3큰술을 넣고 볶아주세요
8. 설탕이 눌으면 웍질 후 간 마늘 2큰술을 넣고 볶아주세요
9. 재료를 밀어 빈 공간쪽 기름에 진간장 60ml을 넣어주세요
10. 튀겨진 간장과 재료를 섞어주세요
11. 꽈리고추 20개, 청양고추 3개를 넣고 볶아주세요
12. 그릇에 옮겨 담고 송송 썰은 대파를 올려주세요",https://youtu.be/MqdncXPR0lY
10,얼큰한 고추장찌개,"- 느타리버섯 2컵 (50g) - 양송이 빼고 다른 버섯도 OK
- 대패 삼겹살 3줌 (150g) - 돼지고기/소고기 모든 부위 OK
- 멸치액젓 1큰술 (10g) - (젓갈종류 모두 OK)
- 감자 1개 (180g) 
- 청양고추 2개 (13g)
- 양파 1/2개 (130g) – 필수는 아님 
- 고추장 4큰술 (60g)
- 대파 2/3컵 (60g) +@ 
- 식용유 2큰술 (15g)
- 굵은 고춧가루 1큰술 (10g) 
- 간 마늘 2큰술 (15g)
- 참기름 2큰술 (15g) 
- 국간장 3큰술 (30g)
- 블랙 후춧가루 1/2큰술 (3g) 
- 물이나 쌀뜨물, 육수, 멸치국물 500ml","1. 대파 2/3컵을 송송 잘게 썰어주세요
2. 양파 1/2개를 얇게 썰어주세요
3. 청양고추 2개를 잘게 썰어주세요
4. 감자 1개를 꼭! 두껍지 않은 크기로 썰어주세요
5. 느타리버섯 2컵을 찢어주세요 (새송이, 표고는 잘게 썰기)
6. 프라이팬이나 냄비에 참기름 2큰술을 넣어주세요
7. 식용유 2큰술을 넣고 둘러주세요
8. 고추장 4큰술을 약불에서 타지 않게 볶아주세요
9. 충분히 볶아낸 고추장에 굵은 고춧가루 1큰술을 넣어주세요
10. 양념장이 타지 않게 약불에서 한번 섞어서 볶아주세요
11. 물 500ml를 넣어주세요 (쌀뜨물, 육수, 멸치국물도 OK)
12. 양념장을 골고루 풀어주세요
13. 감자를 먼저 넣고 끓여주세요 (두꺼운 고기는 같이 끓이기)
14. 다음 재료를 넣고 5분 정도 끓여주세요: 간 마늘 2큰술, 멸치액젓 1큰술, 양파 1/2개, 대패삼겹살 3줌, 국간장 3큰술, 느타리버섯 3컵
15. 감자가 충분히 익으면 다음 재료를 넣어주세요: 청양고추 3개, 대파 2/3컵
16. 후춧가루 1/2큰술을 조금씩 나눠서 간 보며 끓여주세요
17. 완성 된 찌개를 필요에 따라 뚝배기에 옮겨 주세요
18. 여유분에 따라 대파나 쪽파를 송송 썰어서 올려주세요",https://youtu.be/udirCMIxs_c
